Company,Ticker,Sector,Index,fr_id,fr_name,fr_ticker
Supermarket Income REIT,SUPR,Real Estate Investment Trusts,FTSE 250,4984,Supermarket Income REIT PLC,
Target Healthcare REIT,THRL,Real Estate Investment Trusts,FTSE 250,5028,Target Healthcare REIT PLC,
Tate & Lyle,TATE,Food Producers,FTSE 250,4590,Tate & Lyle PLC,
Taylor Wimpey,TW,Household Goods & Home Construction,FTSE 250,5247,Taylor Wimpey PLC,
TBC Bank,TBCG,Banks,FTSE 250,5225,TBC Bank Group PLC,
Telecom Plus,TEP,Telecomms,FTSE 250,5294,Telecom Plus PLC,
Temple Bar Investment Trust,TMPL,Collective Investments,FTSE 250,5205,Temple Bar Investment Trust PLC,
Templeton Emerging Markets Investment Trust,TEM,Investment Trusts,FTSE 250,5206,Templeton Emerging Markets IT PLC,
THG,THG,Personal Products,FTSE 250,5041,THG PLC,
Trainline,TRN,Industrial Transportation,FTSE 250,5025,Trainline PLC,
Travis Perkins,TPK,Support Services,FTSE 250,5270,Travis Perkins PLC,
TR Property Investment Trust,TRY,Investment Trusts,FTSE 250,5210,TR Property Investment Trust PLC,
Trustpilot,TRST,Technology,FTSE 250,5224,Trustpilot Group PLC,
Unite Group,UTG,Real Estate Investment Trusts,FTSE 250,4793,Unite Group PLC,
Utilico Emerging Markets,UEM,Investment Trusts,FTSE 250,4998,UTILICO EMERGING MARKETS TRUST PLC,
Vesuvius,VSVS,General Industrials,FTSE 250,4901,Vesuvius PLC,
Victrex,VCT,Chemicals,FTSE 250,5290,Victrex PLC,
Vistry Group,VTY,Home Construction,FTSE 250,4771,Vistry Group PLC,
Volution Group,FAN,Construction & Materials,FTSE 250,4916,Volution Group PLC,
W. A. G. Payment Solutions,WPS,Financial Services,FTSE 250,5223,W.A.G Payment Solutions PLC,
Watches of Switzerland,WOSG,Personal Goods,FTSE 250,5023,Watches of Switzerland Group PLC,
W H Smith,SMWH,Retailers,FTSE 250,5309,WH Smith PLC,
Wickes,WIX,Retailers,FTSE 250,5063,WICKES GROUP PLC,
Workspace Group,WKP,Real Estate Investment Trusts,FTSE 250,5282,Workspace Group PLC,
Worldwide Healthcare Trust,WWH,Investment Trusts,FTSE 250,4740,Worldwide Healthcare Trust PLC,
WPP,WPP,Media,FTSE 250,6184,WPP PLC,
XPS Pensions,XPS,Financial Services,FTSE 250,4967,XPS PENSIONS GROUP PLC,
Alliance Witan,ALW,Investment Trusts,FTSE 100,,,
Barratt Redrow,BTRW,Household Goods & Home Construction,FTSE 100,,,
Coca-Cola HBC,CCH,Beverages,FTSE 100,,,
DCC plc,DCC,Support Services,FTSE 100,,,
Entain,ENT,Travel & Leisure,FTSE 100,,,
Experian,EXPN,Support Services,FTSE 100,,,
Fresnillo plc,FRES,Mining,FTSE 100,,,
GSK plc,GSK,Pharmaceuticals & Biotechnology,FTSE 100,,,
Hiscox,HSX,Non-Life Insurance,FTSE 100,,,
Howdens Joinery,HWDN,Homebuilding & Construction Supplies,FTSE 100,,,
IHG Hotels & Resorts,IHG,Travel & Leisure,FTSE 100,,,
International Airlines Group,IAG,Travel & Leisure,FTSE 100,,,
Pershing Square Holdings,PSH,Financial Services,FTSE 100,,,
Sainsbury's,SBRY,Food & Drug Retailing,FTSE 100,,,
3i Infrastructure,3IN,Financial Services,FTSE 250,,,
Aberdeen Asia Focus,AAS,Investment Trusts,FTSE 250,,,
AEP Plantations,AEP,Food Producers,FTSE 250,,,
Atalaya Mining,ATYM,Industrial Metals and Mining,FTSE 250,,,
Avon Technologies,AVON,Industrial Goods and Services,FTSE 250,,,
B&M,BME,Retailers,FTSE 250,,,
A.G. Barr,BAG,Beverages,FTSE 250,,,
BH Macro,BHMG,Hedge Funds,FTSE 250,,,
BlackRock Smaller Companies Trust,BRSC,Equity Investments,FTSE 250,,,
BlackRock Throgmorton Trust,THRG,Equity Investments,FTSE 250,,,
Bluefield Solar Income Fund,BSIF,Investment Trusts,FTSE 250,,,
C&C Group,CCR,Food & Tobacco,FTSE 250,,,
Carnival Corporation & plc,CCL,Travel & Leisure,FTSE 250,,,
Chrysalis Investments,CHRY,Investment Trusts,FTSE 250,,,
Fidelity Emerging Markets,FEML,Investment Trusts,FTSE 250,,,
Foresight Environmental Infrastructure,FGEN,Investment Trusts,FTSE 250,,,
GCP Infrastructure Investments,GCP,General Financial,FTSE 250,,,
Grafton Group,GFTU,Support Services,FTSE 250,,,
Greencore,GNC,Food Beverage and Tobacco,FTSE 250,,,
HarbourVest Global Private Equity,HVPE,Equity Investments,FTSE 250,,,
HICL Infrastructure Company,HICL,Investment Trusts,FTSE 250,,,
International Public Partnerships,INPP,Financial Services,FTSE 250,,,
International Workplace Group,IWG,Support Services,FTSE 250,,,
Invesco Asia Dragon Trust,IAD,Investment Trusts,FTSE 250,,,
Investec,INVP,Financial Services,FTSE 250,,,
JPMorgan Emerging Markets Dividend Income,JEMI,Investment Trusts,FTSE 250,,,
JPMorgan Emerging Markets Growth & Income,JMG,Investment Trusts,FTSE 250,,,
JPMorgan European Discovery,JEDT,Investment Trusts,FTSE 250,,,
JPMorgan India Growth & Income,JII,Investment Trusts,FTSE 250,,,
JTC,JTC,Financial Services,FTSE 250,,,
Lancashire Holdings,LRE,Non-Life Insurance,FTSE 250,,,
Merchants Trust,MRCH,Investment Trusts,FTSE 250,,,
NB Private Equity Partners,NBPE,Collective Investments,FTSE 250,,,
