id,lei,name,ticker,country_code,market_segment,stock_indices,listed_exchanges,date_ipo,is_listed
5324,5493006456YEZEELRR90,Just Group PLC,JR0,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2013-11-12,True
4933,213800H2PQMIF3OVZY47,Kainos Group PLC,KNOS,GB,FTSE 350,FTSE 250,London Stock Exchange,2015-07-10,True
4727,549300QO4MBL43UHSN10,Keller Group PLC,KLR,GB,FTSE 350,FTSE 250,London Stock Exchange,1994-05-05,True
4675,213800KBMEV7I92FY281,Kingfisher PLC,KGF,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1982-11-24,True
4626,213800V8IAVKS37D6B88,Land Securities Group PLC,LAND,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1955-08-02,True
4596,2138006E39QX7XV6PP21,Law Debenture Corporation PLC,1R4,GB,FTSE 350,FTSE 250,London Stock Exchange,1946-07-10,True
5266,213800JH9QQWHLO99821,Legal & General Group PLC,LGI,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1979-07-02,True
4897,213800XKDG12NQG8VC53,Lion Finance Group PLC,BGEO,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2012-02-28,True
4788,549300XVXU6S7PLCL855,Liontrust Asset Management PLC,LIO,GB,FTSE 350,FTSE 250,London Stock Exchange,1999-07-21,True
4691,549300PPXHEU2JF0AM85,Lloyds Banking Group PLC,LLOY,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1986-10-08,True
5318,213800OCERWWPQDURL87,Londonmetric Property PLC,5PP,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2010-10-01,True
5297,213800QAUUUP6I445N30,London Stock Exchange Group PLC,LSEG,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2001-07-20,True
4969,2138008YZGXOKAXQVI45,LXI REIT PLC,LXI,GB,FTSE 350,FTSE 250,London Stock Exchange,2017-02-27,True
